teks;;;label
haduhhh ini anak kasihan banget bikin prank jadi pocong pocong pas di datengin tim teman teman pada kabur dia ;;;-1
 menteri alam gaib saja urus genderuwo pocong kuntilanak dsb cocok tuh ;;;0
bang ceritain alam lu pas mulai sakaratul maut sampai sukses jadi pocong dong ;;;1
 pocong kuntilanak genderewo kenapa karena aku kan sering lihat mereka terus interaksi dan ngepassin mer ;;;0
 sebelah apih kirana itu pocong ke pucat macam ;;;0
rt sudah diblock awkarin diblock pocong diblock siapa lagi;;;0
 pocong dia enggak berisik kaya hantu lain masuk hantu yang introvert kali nya malu malu begitu dekat pohon pisang;;;0
 nontonin pocong kok masuk molenan semen;;;-1
 thea kan princess kamu itu mah dasar pocong ;;;-1
 nontonnya pocong series atau azab spesial ya ;;;-1
 pocong karena asli hantu orang indonesia;;;1
 sabar nama juga pocong;;;1
 kuntilanak karena enggak nyereminnn kayak pocong;;;0
rt pocong sudah balik ke twitterawkarin sudah balik ke twitterkamu kapan balik sama akuhash ramashok ;;;0
 pocong karena indonesia banget;;;0
 pocong gara gara pernah lihat ;;;0
 pocong t zaman baheula bajuna angger wae nueta tara gonta ganti komo ngahajakeunshoping fashion mah ciri kasederhanaan anuhakiki ;;;0
 pocong karena suka bagi iphonenapa karena aku kan sering lihat mereka terus interaksi dan ngepassin mer ;;;1
 kok hantu sih favorit aku pocong deh soal dia enggak usah teriak suara takut dia diam di pohon pisang a ;;;-1
 pocong soal pas tak aku pernah diliatin mas pocong begitu sambil dibawain bunga mulut dia sumpah wkwk ;;;1
 loh film nopo ni mbah delokan kulo mumun pocong enggak erti film ngoten wkwk;;;0
 pocong karena kayak permen sugus;;;0
 gua searching dong astaghfirullah paling kaget dan yang keluar gampar pocong ;;;-1
pocong prank tegarmndrtarget umarmubarok evnubadrika angga si permana ve ;;;0
rt teror pocong mbak sum thread awal gue enggak yakin mau cerita ini karena dari kian banyak alam gue ini;;;-1
orang macam mana pocong gerak lompat ke golek ;;;-1
 pocong saja hidup;;;0
 kalau ini sering sih aku dapat cerita ada tempat makan yang anak kecil lihat ada pocong nya lagi n ;;;-1
 coba main sama pocong;;;0
pocong kembali main twidder langsung rame seluruh indonesia sementara itu ada yang iri dengan ke trending ngan n ;;;-1
 wkwkwkwk itu loh yang katai pocong who sementara itu ada yang iri dengan ke trending ngan n ;;;-1
layar gelas pun mirip pocong wekwek;;;1
jadi sekarang era nya pocong vs anak presiden menarique ;;;0
pocong mana ;;;-1
rt pocong sudah balik ke twitterawkarin sudah balik ke twitterkamu kapan balik sama akuhash ramashok ;;;0
rt pocong sudah balik ke twitterawkarin sudah balik ke twitterkamu kapan balik sama akuhash ramashok ;;;0
pocong kembali gentayang ;;;-1
kalau macam ini lah bentuk kuih dakap memang aku akan pnggil kuih pocong lah senang untuk aku ingat ;;;1
cinta abang sama eneng bagai pocong ikat erat tanpa ada yang berani lepas ;;;1
 apakah ini yang nama sumpah pocong ;;;1
 cikgu rupa pocong ini kes pbd ini buat pening lahaiii ang untuk aku ingat ;;;0
nah malam sih yang medeni gue tidur nyenyak bangun gara suara tokek di depan kamar anjir mana banyak benar gata ;;;1
 pocong naik motor sport hmmm menarique;;;1
rt pocong sudah balik ke twitterawkarin sudah balik ke twitterkamu kapan balik sama akuhash ramashok ;;;0
 sama aku kenal sama mas pocong waktu aku sampai kelas ;;;0
 jadina kunti bukan pocong dong;;;0
 busy nye pocong ckgu rupanye;;;0
rt pocong sudah balik ke twitterawkarin sudah balik ke twitterkamu kapan balik sama akuhash ramashok ;;;0
rt tapi sudah benar nyak sa seram nya hantu ku jurig kuntilanak dedemit pocong genderewo dll tetap masih leuwih seram hantu;;;0
 pocong indon sendu ;;;0
rt netizen facebook sama segitiga saja takut netizen twitter ada pocong muncul sambut dengan sukacita ;;;1
rt gue sempat ira yang posting foto selebtwit di menfess dengan caption pocong who itu ya orang orang yang di foto itu l;;;0
gue sempat ira yang posting foto selebtwit di menfess dengan caption pocong who itu ya orang orang yang di f ;;;0
rt lagi rame balik di twitter jadi ingat ini salah satu tampil publik pertama di sama gua masih bayang anak;;;-1
rt anjir gue kaget banget sumpah gaboong dp lo lebih seram dari pocong jadi gakan gue follback ;;;0
 gali kubur mau ngambil tali pocong;;;0
 pocong kalo kebelet berak bagaimana apa pakai pampers bayi ;;;0
 nanti kalo pocong benar malah seram;;;0
semenjak pocong bangkit tl jadi penuh lumayan lah dari pada gelut politik ;;;1
rt lagi rame balik di twitter jadi ingat ini salah satu tampil publik pertama di sama gua masih bayang anak;;;-1
 well pocong enggak makan makan fisik jadi hipotesis saya ia tidak mungkin berak kalo berak pun paling tra ;;;0
 enggak ah seram amat rasuk pocong di hipotesis saya ia tidak mungkin berak kalo berak pun paling tra ;;;-1
 pocong bisa follback aku enggak ;;;0
baru engeh kalo sih jerom sama sih pocong saling sindir sindir haha;;;-1
pocong dkt gsc ini cerita kelakar ke aku nak g tengok ini aku bosaaasn;;;0
 jangan tiru cong dia hedon belum pernah rasai jadi pocong dia cong ajar cong cara sederhana t cowok t enggak jsgfia;;;1
 pocong jepri mau a ;;;0
 jam film pocong sih mumun;;;0
 innalillahi lagi rumah duka ada anak kecil tanya ke teman nanti jadi kuntilanak apa pocong ya pocong lihat saja disituia;;;-1
 pocong vs tengkorak;;;0
 di dunia lain pocong nih ;;;0
 enggak kenal arief muhammad sini kenal pocong doang;;;-1
 ora papa des daripada hari ini moto ini sama hantu pocong beso moto ini sama kuntilanak besok moto ;;;0
rt bangkit nya sang pocong dari tanah twitter;;;0
 ajak om pocong juga ya mas kaesang;;;0
 bilang saja khilaf masuk pocong;;;0
haaaaaa pocong pun istighfar kuta bila nk istighfar hahahaha ;;;0
ouch baru engah pocong sudah kembali ya;;;-1
dulu ada kakak kls yang mirror selfie cermin itu dan belakang ada pocong ada juga temenku sendiri nih yang bisa l ;;;0
pocong who pocong adalah saya dan anda jika sudah masuk alam barzah ;;;0
rt definisi teman bangsat wkwkwkwkk teman nya jadi pocong datang polisi yang lain pada kabur terus yang jadi pocong mal;;;-1
 pocong ikut;;;0
hai hai ba a kaba haha bikin welcomeback dong kayak pocong biar viral juga kabur terus yang jadi pocong mal;;;-1
rt takut jenazah bete terus order gojek ke kubur kan ribet urus kasihan drivernya boncengin bagaimana;;;-1
 enggak tau bgst banget memang apa memang tuh pocong lagi hamil terus gue tempel begitu jadi ikut mual mual wkwk;;;-1
 dari pocong itu;;;0
 takut jenazah bete terus order gojek ke kubur kan ribet urus kasihan drivernya boncengin bagaimana pocong begitu n;;;-1
 tengok cite pocong pun nyorok bawah ketiak aku hahaha;;;-1
rt isi twit pocong juga enggak ada apapa nya banding twit nya kok bisa laku dan hype sekal ya ;;;1
 ayo ajak pocong dan jerome;;;0
 bang tutorial jadi pocong bagaimana;;;0
 tapi aku req kita roasting pocong lagi jam pagi bagaimana ;;;0
 satu lagi jari siapa kok goib jari pocong ;;;-1
rt asa aku saja apa ya kalo lagi cuci muka atau pakai sampo bayang pocong lah kuntilanak lah lansung zikir dalam hati;;;0
pocang pocong pocang pocong sudah come back tapi masih di block ;;;0
 ngeri benar pocong;;;0
rt dari zaman baru lahir sampai pocong muncul kembali hahaha nemu ini di liked twitter kali welcome back ;;;-1
rt ikut post ulang seperti memori kampanye di madura kita bagi dari juang ini yuk kita remind;;;1
rt ngelesnya amatir banget masih lebih pinteran anak sd soal urus ngeles lindungisaksibpn maka janganikutbermain ;;;-1
rt jokowi putus gila yang penting untuk negara akan saya kerja lindungisaksibpn;;;1
rt takut hanya kepada allah dan cinta allah lebih cinta kepada isi dunia selamat malam selamat beristi;;;1
rt sempat sempat tidur di maka malam lagi asik urus berkas sambil gadang mungkin dia lelah hahaha maka jang;;;-1
rt mati korban harus ungkap begitu juga mati ratus anggota kpps lindungisaksibpn ;;;-1
rt definisi teman bangsat wkwkwkwkk teman nya jadi pocong datang polisi yang lain pada kabur terus yang jadi pocong mal;;;-1
 ahahahha gblk gue kira pocong gp apa emen nya jadi pocong datang polisi yang lain pada kabur terus yang jadi pocong mal;;;-1
 pocong the originol nogori sombilan;;;0
 siang panas begini ya tunggu pocong keluar jalan di aspal lah;;;-1
apa sih ini ada akun pocong wkwkwk;;;0
 yakin ke pocong dulu lalu ingat pocong rupa gun baja hahaha;;;0
pocong gp tapi helm pakai plastik wkwk ;;;0
rt topik cinta beda agama is sok last year try cinta beda alam kamu manusia dia pocong ;;;1
 orang indonesa itu lebih takut sama pocong daripada setan true story ;;;-1
enggak sangka dapat juara pocong gp anjerrr padahal lawan cowok semua asa anak marc marquezzz wkwk;;;-1
pocang pocong pocang pocong memang kenapa sih kalau sih pocong balik lagi kak twitter biar saja laaa yang lama main twitter p ;;;-1
 kayak pocong saja;;;0
ingat enggak sih ada sinetron pocong mumun sama pocong jefri yang kalo ada pocong ada efek merah merah yaila aku deh tua ;;;-1
gorontalo agama islam idola cjr hobi makan upil konser kamar mandi main hp phobia pocong afiyah si bio ;;;0
 pocong dong;;;0
 haa memang pocong suara skuyyy;;;0
 masa kalah sama pocong sih teman ;;;-1
 hidup di dunya ini penush coba dan uji habis itu ada tampak pocong dijndela rumah di film ;;;0
 siap dong nya ini penush coba dan uji habis itu ada tampak pocong dijndela rumah di film ;;;1
 lihat pocong ngetweet coba dan uji habis itu ada tampak pocong dijndela rumah di film ;;;0
 bangkit nya sang pocong dari tanah twitter;;;0
rt pocong sudah balik ke twitterawkarin sudah balik ke twitterkamu kapan balik sama akuhash ramashok ;;;0
kelas spenlibels di jam saya enggak ada wisuda bagai ganti kami bertemu di hari lain dengan nggrudug del ;;;0
lagi pikir pocong ;;;0
 masak mantu tni ngeri sama pocong suruh kejakarta mbak kalian suruh bawa anak buah budiman arife ;;;-1
 oka masih jadi landak gaul dan arief masih jadi pocong kalian suruh bawa anak buah budiman arife ;;;0
 jangan sering lompat kau pocong susah kencing nanti;;;-1
 pocong enggak bisa pakai motor arief muhammad saja enggak bisa;;;0
aku kangen thread nya adora dan hilman dan juga pocong ririn ;;;1
rt pocong sudah balik ke twitterawkarin sudah balik ke twitterkamu kapan balik sama akuhash ramashok ;;;0
pocong ;;;0
 wehhh taguna pocong nasib baik deh tau pasni memang tak lah nak lalu ;;;1
 eeeehhh pocong siang prabowo deklarasi menang sampai kali lo enggak komen sampah;;;0
 coba tanya pocong;;;0
pakai pic pocong di profil wa pada marah n ngedumel salah gue mana coba ya ;;;-1
please dong hargain asa gue gua juga manusia kali ya gua bukan pocong tau ;;;0
 cong aku mau bertanya bagaimana cara pocong untuk makan pakai sendok dan garpu;;;-1
rt netizen facebook sama segitiga saja takut netizen twitter ada pocong muncul sambut dengan sukacita ;;;1
rt pocong sudah balik ke twitterawkarin sudah balik ke twitterkamu kapan balik sama akuhash ramashok ;;;0
 training untuk jadi pocong ;;;0
 innalillahi sudah innalillahi bentar lagi jadi pocong lu;;;0
 pengin cepat jadi pocong kali g aku buah budiman arife ;;;1
 iya gedorin pakai kepala coba deh lihat youtube nya raditya ka feat kisah tanah jawa sana semp ;;;0
jalan chepor dalam ke meru raya deh ganggu pocong jaga jaga kalau jumpa minta nombor ekor hahahahha ;;;-1
 iya chet saja sama pocong itu dia sudah kembali dari alam kubur sekarang lagi ngkorong ditwitter ;;;-1
suka ngemil tanmocollection jual macaroni mamade mie lidi osyin popcorn factory redondo wafer stick kripik pocong yuk di order ;;;1
anjir deh kenapa sih pocong baru kenal lagi is this orang something ;;;0
rt netizen facebook sama segitiga saja takut netizen twitter ada pocong muncul sambut dengan sukacita ;;;1
rt pocong sudah balik ke twitterawkarin sudah balik ke twitterkamu kapan balik sama akuhash ramashok ;;;0
 pocong sirik mulu ;;;-1
rt pocong sudah balik ke twitterawkarin sudah balik ke twitterkamu kapan balik sama akuhash ramashok ;;;0
isi twit pocong juga enggak ada apapa nya banding twit nya kok bisa laku dan hype sekal ya ;;;1
 lagi bertanya sama diri sendiri tentang misteri apakah itu gentayang karena tali nya enggak lepas ;;;0
 pocong mau ikut ;;;0
 itu pocong lagi sholat mbak kalian titip tagar mkbukanbawahantkn mkbukanbawahantkn;;;0
rt pocong sudah balik ke twitterawkarin sudah balik ke twitterkamu kapan balik sama akuhash ramashok ;;;0
saik kami balik bareng pocong ;;;0
rt wkwkwk ini pocong mangkal mana sih ;;;-1
 pocong saja tweetnya bisa baca yang itu kagak baca sama sekal beda jenis kali sama pocong;;;1
beda kelas kamu yang dulu dan kamu yang kemarin kelas kelas terrong kayak pocong lompat lompat enggak jelas;;;1
 balik karena pocong wjwkw;;;0
rt pocong sudah balik ke twitterawkarin sudah balik ke twitterkamu kapan balik sama akuhash ramashok ;;;0
oh iya lanjut pas sampai kamar lihat homescreen hp gambar jje seram banget kayak pocong langsung ganti jadi don ;;;-1
 pocong;;;0
terus ya waktu sudah mulai gamenya itu harus kan ada banyak orang yang ikut tapi itu aku tinggal di rumah sakit angker ;;;-1
rt status anak usaha bumn adalah bumn lindungisaksibpn ;;;0
rt pigai ada lembaga selain maka yang akan perintah kpu diskualifikasi jokowi maruf lindungisaksibpn;;;-1
rt kpu itu sudah umum menang milu dan kpu punya wakil sampai ke tingkat kab kota dan provinsi kenapa harus su;;;1
rt soal jabat maruf amin di bumn rr larang dan tidak pantas lindungisaksibpn;;;-1
rt pakar banding dan kpu lebih deg degan tunggu putus maka lindungisaksibpn;;;0
rt gaknagargakasik kami selalu dukung mendoakanmupk bang pasang tagar lindungisaksibpn ;;;1
rt gaknagargakasik ayo kita doa buat selamat para saksi yang akan saksi di mksemoga allah lindung;;;1
rt jika lpsk tidak bisa lindung saksi dan tim hukum kami rakyat dari baris akal sehat dukung ;;;1
rt tim hukum tuding polisi libat curang pilpres mabes polri kami netral indrpenden tidak betpihak ke apa;;;-1
tadi malam mimpi lihat pocong tanda apa ya;;;1
rt enggak nagar enggak asik lindungisaksibpn lindungisaksibpnsilahkan komen saudara ;;;0
 santuy abang pocong;;;0
rt aktifis media sosil penjara karena kritisi bijak rezim contoh jonru mustofa nahra dll ini demokrasi ki;;;0
rt netizen facebook sama segitiga saja takut netizen twitter ada pocong muncul sambut dengan sukacita ;;;1
 pocong;;;0
 pocong waras;;;0
rt pocong sudah balik ke twitterawkarin sudah balik ke twitterkamu kapan balik sama akuhash ramashok ;;;0
 pocong kayak nya;;;0
 pocong;;;0
 lagi ingin minta tolong sama bung agar mempromosiin akun baru gue biar di follow sama jutaaan followers abang pocong;;;0
pocong ini lo bukan ;;;0
rt netizen facebook sama segitiga saja takut netizen twitter ada pocong muncul sambut dengan sukacita ;;;1
tampak pocong di rumah abdi setan lewat ;;;-1
 masih tunggu sih pocong nih;;;0
 mungkin pocong adalah siskae;;;0
 ini adu cerita dar biar didoain pocong ;;;0
kenapa aku mimpi pocong pula aaaa serabut jssjjsns;;;1
pocong apa yang disenengin ibu ibu pocong harga ;;;0
 ;;;0
 eh bukan kejar pocong sih jadi kayak diikutin nah tapi dia dekat perlahan begitu;;;0
 enggak wan dia bahkan pakai tulis pocong segala gambar wkwk;;;0
rt netizen facebook sama segitiga saja takut netizen twitter ada pocong muncul sambut dengan sukacita ;;;1
mau balek lihat putih gang kukira pocong rupa ibu pakai mukena baru balek solat ajg senam jantung;;;-1
gaes hantu lokal yang turut kalian seram apa me pocong entah kenapa dari gue kecil suka ditakutin abang gue dengan ;;;-1
pocong balik ketwitter dengan bawa rakyat rakyat instagram;;;0
 sumpah enggak pakai pocong kan ;;;1
 ya allah pocong nya centang biru pocong verified ari gue kecil suka ditakutin abang gue dengan ;;;1
pocong saja sudah balik lagi ke twitter terus kalian enggak ada niat mau balik jadi jomblo begitu iya maksud hubun ;;;0
rt pocong sudah balik ke twitterawkarin sudah balik ke twitterkamu kapan balik sama akuhash ramashok ;;;0
 ish masa tetangga kamu punya guling kayak pocong seram tau ;;;-1
rt topik cinta beda agama is sok last year try cinta beda alam kamu manusia dia pocong ;;;1
 pocong mana pocong er terus kalian enggak ada niat mau balik jadi jomblo begitu iya maksud hubun ;;;-1
 belum tau saja kalau tetiba pocong rebah samping kamu ad jomblo begitu iya maksud hubun ;;;0
 iyaak lebih hits kuntilanak sih dulu daripada pocong ;;;0
akhir pecah pocong itu bang arip ad jomblo begitu iya maksud hubun ;;;-1
 yang ada pocong yang kangen;;;1
 pocong mini ya;;;0
rt pocong sudah balik ke twitterawkarin sudah balik ke twitterkamu kapan balik sama akuhash ramashok ;;;0
 pocong kalo bangun pagi ya ;;;0
pocong sudah balik ke twitterawkarin sudah balik ke twitterkamu kapan balik sama akuhash ramashok ;;;0
apa sih ini bong bong bong kayak sih pocong jam dulu saja ;;;0
 pocong bodo po cih;;;0
jadi pocong kene elastic;;;0
 kerja seperti pocongbahkan lompat lompat saja enggak ada yang tahutiba muncul saja begitu;;;1
 moga mati enggak jadi pocong ya;;;-1
rt lagi rame balik di twitter jadi ingat ini salah satu tampil publik pertama di sama gua masih bayang anak;;;-1
rt orang yang caper di tweet pocong minggu lagi juga sudah bosan ;;;-1
rt pocong sudah balik ke twitterawkarin sudah balik ke twitterkamu kapan balik sama akuhash ramashok ;;;0
tiap kali cuci muka en bisa di diam lama lama dulu baru bilas eh tapi bagaimana baru nutup mata detik saja ;;;-1
 batman rasa pocong;;;0
tali mati bukan tali pocong ;;;-1
yang bucin di tl tengah malam begini benar pacar lo tuh orang apa pocong sih ;;;1
 diewe kunti sundel bolong pocong nder;;;0
masuk dan tonton live pocong p ramal di bigolive keyco wedding ;;;0
 gapapa cin lu mvp banget deh gambar pocong;;;0
 indonesian name itu pocong bigolive keyco wedding ;;;0
rt rasuk pocong ;;;0
 tinkerbell kena azab jadi pocong;;;-1
 hayo pocong keliling kali tuh;;;-1
rt pocong sudah balik ke twitterawkarin sudah balik ke twitterkamu kapan balik sama akuhash ramashok ;;;0
pocong punya twitter;;;0
 mungkin mbak kesel sama sender anon yang bilang ini baru selebtwit pocong who seola ;;;0
tapi lupa sudah jadi pocong ya allah ;;;0
 jangan diludahin pocong;;;0
sumpah ya anjir tadi habis tonton producex kan nah terus lihat notif dana ada yang nama pocong ditwittter tanya ;;;1
 tapi buka besok wae ya bun ada koper leseuh sok cuci muka heula ganti baju terus tidur ya cuci kaki ;;;-1
daripada yang mention nya pocong mbak he he he ;;;0
 pocong dzaman nau;;;0
 kan aku enggak ubah jadi pocong ;;;0
 hmm cerita salah satu santri di pondok gue dulu yang kejar pocong;;;-1
 aku baca pocong mbak t t;;;0
nak tengok cerita pocong ;;;0
 anjir sih pocong parah marahin noh ;;;-1
lagi tunggu pocong datang krrumah gue ;;;0
ini asli apa pocong yang punya prank prank yutuber welcomebackpocong;;;1
masuk dan tonton live pocong p ramal di bigolive keyco wedding ;;;0
 bang pocong pasti;;;0
 iya woy sumpah waktu diceritain begitu langsung pada tatap an terus adek kelas ditanyain kamu nemu ;;;1
kak dicky itu takut banget sama yang nama pocong dickyfact;;;-1
 i fikir dorang keluar je jadi pocong;;;-1
 enggak mau pakai tali pocong saja enggak;;;0
jadi panitia kan pada bikin pocong an boongan begitu loh cuma bikin tapi adek kelas pada lapor lihat banyak ;;;-1
 kan pocong juga setan enggak an boongan begitu loh cuma bikin tapi adek kelas pada lapor lihat banyak ;;;-1
 setan bukan pocong ;;;-1
 padahal kita les nya sama pocong budeg ya oh cuma bikin tapi adek kelas pada lapor lihat banyak ;;;-1
 nasib dunia ini tak balik sia i nak naik hantu beb gentle sakit macam i patah pocong nye bapak nye tengkorak;;;-1
 peluk sama pocong;;;1
mampus gue takut sendiri gua ira guling yang gua pelukin pocong bangsat rupa sih bentuk;;;-1
watching kumpul prank pocong di pelosok nusantara lama bulan ramadhan gila;;;-1
 ok mimpi pocong ya biar dia sng;;;1
 kaget gue di rep sama yang ava nya pocong;;;0
yang ditwit sama pocong sudah pernah ditwit sama selebtwit yang lain tapi indak apa pasar beda waktu ;;;0
rt netizen facebook sama segitiga saja takut netizen twitter ada pocong muncul sambut dengan sukacita ;;;1
aku dengar podcast truss ada suara dan yang datang adalah pocong saja rinding bodoh ini semua karena sih batu;;;-1
pocong asli ;;;1
 pocong bisa kesal juga ya selow om ;;;0
 enggak mau nanti ketemu pocong selebtwit ituoh cuma bikin tapi adek kelas pada lapor lihat banyak ;;;-1
 baru tau aku itu pocong di kubur bisa mandi ;;;0
 gaperlu ah pocong saja bisa tenar apalagi ehem;;;0
 pocong cengok enggak ada kapasin dulu h cuma bikin tapi adek kelas pada lapor lihat banyak ;;;-1
 lagi takut pocong nih mau ikut ;;;-1
 siap sok ben enggak kaget lak ddi pocong;;;0
 pocong yang punya twitter;;;0
rt dari zaman baru lahir sampai pocong muncul kembali hahaha nemu ini di liked twitter kali welcome back ;;;-1
rt imagine bantal peluk korang tukar jadi pocong;;;1
lucknutt teman nya pada kabur semua dan baru tau pocong gaya baru pakai spanduk bukan kain ;;;-1
 sep tiati nanti jadi pocong benar;;;1
rt pocong sudah balik ke twitterawkarin sudah balik ke twitterkamu kapan balik sama akuhash ramashok ;;;0
rt lagi rame balik di twitter jadi ingat ini salah satu tampil publik pertama di sama gua masih bayang anak;;;-1
 baru nongol sudah ajak ribut nih pocong;;;0
 haa mbo pikir pocong ye colot barang;;;0
 ih kemarin aku tonton ini kocak btw ada tuh yang nemu pocong jadi anan publik pertama di sama gua masih bayang anak;;;-1
min boleh nih min tambah sesi uji nyali yang jadi pocong sih mingyu sama hanbin ;;;0
 jaga pocong enakmh sambil ngupi;;;0
pocong kalo renang kayak bagaimana ya ;;;0
rt pocong sudah balik ke twitterawkarin sudah balik ke twitterkamu kapan balik sama akuhash ramashok ;;;0
pocong pun ret istighfar kalah aku yang nemu pocong jadi anan publik pertama di sama gua masih bayang anak;;;-1
 bisa dong sama pocong;;;0
 hamdalah ada yang tanya wlpun pocong ;;;0
 enggak usah sok sok jadi pocong lu gua samperin auto musyrik lu;;;-1
ajar dari pocong dari dulupakaiannya itu itu saja hidup sederhana ;;;1
anjing pocong bangsat ;;;-1
 lo mana sudah mau tengah malam nih pocong kok nongol kalau siang doang bagi shift siang sama emak lo ya cong ;;;-1
 tuh futsal apa pocong mumun sih rinding begitu;;;-1
 tim lihat sampai pocong nya pergi bookmarks ku bagus ya keras kepala kalau sudah gasuka sama orang enggak ;;;1
 ubah jadi pocong;;;0
rt wkwkwk ini pocong mangkal mana sih ;;;-1
 foto foto anak twitter bukber terus kayak kasih caption ini mah baru selebtwit poconggg who kayak g ;;;0
 halo hooman calon pocong;;;0
 kepo lu anjing pocong ;;;-1
niat prank jadi pocong bocah ini malah samper polisi ;;;0
 kayak videony pocong waktu itu;;;0
rt ada yang pernah tampak pocong lompat ada yang guling ada juga tampak bola api tak tinggal langsuir yang tenggek dekat;;;-1
gua kembar pocong enggak nya ;;;0
ada yang pernah tampak pocong lompat ada yang guling ada juga tampak bola api tak tinggal langsuir yang bertengg ;;;-1
rt hai sahabat baca pada heboh comebacknya mince mau bilang welcomebackpoconggg di dunia twitter ini nah ngomon;;;1
rt lagi rame balik di twitter jadi ingat ini salah satu tampil publik pertama di sama gua masih bayang anak;;;-1
 lagi laku suatu yang pocong enggak bisa laku hayo apa ;;;1
 tenang pocong stay pojok;;;1
main handphone jam non stop mampu ajar matematika menit mampus duh aku anaktwitter ;;;1
rt selamat datang kembali suka apa pocong tter ;;;1
rt ini teori saya kenapa pocong itu jadi hantu yang paling takut orang layu berbeza dengan hantu lain yang tak pe;;;-1
rt lagi rame balik di twitter jadi ingat ini salah satu tampil publik pertama di sama gua masih bayang anak;;;-1
 jangan takut ada pocong;;;1
kakak jadi pocong dong ;;;0
 guling entar ubah jadi pocong ;;;0
rt dari zaman baru lahir sampai pocong muncul kembali hahaha nemu ini di liked twitter kali welcome back ;;;-1
 kenapa ada pocong;;;0
lemang pocong pocong muncul kembali hahaha nemu ini di liked twitter kali welcome back ;;;-1
imagine bantal peluk korang tukar jadi pocong;;;1
 kapan kapan kolab yuk kang mas ludah pocong;;;0
 selebtwit kata lagi foto bareng capsnya ngebandingin mereka sama pocong haha;;;1
rt definisi teman bangsat wkwkwkwkk teman nya jadi pocong datang polisi yang lain pada kabur terus yang jadi pocong mal;;;-1
definisi teman bangsat wkwkwkwkk teman nya jadi pocong datang polisi yang lain pada kabur terus yang jadi pocong ;;;-1
 ini maksud apa ya cong twitternya arief muhammad knapa pocong enggak nya tiga ;;;-1
ya kaget dong masa di dapur ada pocong sama tepung cap segitiga dajjal biru jadi pocong ;;;0
ada ada saja bocah ngeprank jadi pocong;;;0
 sojong baca pocong ;;;0
 pocong keliling ituloh;;;0
 kok bisa jadi pocong astaga;;;-1
 enggak nemu twitnya pas cari malah dapat begini pocong gegeh jadi pocong ;;;0
rt lagi rame balik di twitter jadi ingat ini salah satu tampil publik pertama di sama gua masih bayang anak;;;-1
 tak apa yang penting adek pocong;;;1
mau bikin klarifikasi ahjadi ya fellas mumun itu arti hantu jadi ada buah film yang hantu sebut mumun ;;;0
 tau anjir dari pocong keliling ke tinkerbell ya allah kakak banget;;;0
 lo mau endorse pocong min ;;;0
 kok pocong;;;-1
